

lastname, firstname, residentID, programID, name

Clay, Emmanuel, 31941595, IMD, Internal Medicine, 
McPherson, Kieran, 83942612, EMD, Emergency Medicine, 
Maldonado, Walker, 98811073, PSY, Psychiatry, 
Ware, Aylin, 80157018, IMD, Internal Medicine, 
Good, Griffin, 52279702, IMD, Internal Medicine, 
Peck, Graysen, 55121976, XXX, NOT_MATCHED, 
Ayala, Shepherd, 70470244, ORS, Orthopedic Surgery, 
Rubio, Aliana, 67811509, IMD, Internal Medicine, 
Small, Cairo, 52330406, IMD, Internal Medicine, 
Shepherd, Reid, 87370900, FMD, Family Medicine, 
Raymond, Camilla, 28779467, XXX, NOT_MATCHED, 
Palacios, Sean, 86748629, IMD, Internal Medicine, 
Walter, Priscilla, 82763754, MGG, Medical Genetics and Genomics, 
Finley, Florence, 17262576, PSY, Psychiatry, 
Carrillo, Xzavier, 37183421, FMD, Family Medicine, 
Griffin, Alvaro, 49680180, FMD, Family Medicine, 
West, Kataleya, 78382563, FMD, Family Medicine, 
Krueger, Kelvin, 94438817, FMD, Family Medicine, 
Ortega, Koa, 80824886, IMD, Internal Medicine, 
Barnett, Malia, 17030262, FMD, Family Medicine, 
Gardner, Ryan, 30888090, FMD, Family Medicine, 
Little, Stefan, 63135535, ANT, Anesthesiology, 
Hurley, Desmond, 19787188, FMD, Family Medicine, 
Fowler, Reece, 52234437, FMD, Family Medicine, 
Baldwin, Mara, 81945350, IMD, Internal Medicine, 
Velez, Kylian, 49560923, IMD, Internal Medicine, 
Skinner, Dario, 12826191, DRA, Diagnostic Radiology, 
Poole, Carlos, 81092643, XXX, NOT_MATCHED, 
Alvarez, Mavis, 91556201, XXX, NOT_MATCHED, 
Small, Joshua, 59257309, XXX, NOT_MATCHED, 
Harrell, Archie, 30763789, FMD, Family Medicine, 
Acevedo, Orion, 71205302, PSY, Psychiatry, 
Clayton, Noel, 30072089, PSY, Psychiatry, 
Blackwell, Zeke, 41221692, IMD, Internal Medicine, 
Cline, Alicia, 52014284, IMD, Internal Medicine, 
Marks, Wren, 65447375, XXX, NOT_MATCHED, 
Dennis, Lina, 75265811, FMD, Family Medicine, 
Nunez, Martha, 46836510, FMD, Family Medicine, 
Bates, Ryleigh, 48878145, XXX, NOT_MATCHED, 
Navarro, Giavanna, 85937605, XXX, NOT_MATCHED, 
Booker, Annabelle, 98337262, FMD, Family Medicine, 
Turner, Amir, 86154641, FMD, Family Medicine, 
Baldwin, Marco, 64377820, FMD, Family Medicine, 
Curtis, Cassius, 74158631, FMD, Family Medicine, 
Shelton, Journi, 21924801, IMD, Internal Medicine, 
Knight, Bonnie, 11021493, FMD, Family Medicine, 
Cortes, Zara, 76765665, DRA, Diagnostic Radiology, 
Wise, Rayna, 74225480, PMR, Physical Medicine & Rehabilitation, 
Mendoza, Michaela, 72299541, IMD, Internal Medicine, 
Simmons, Elsie, 69348598, XXX, NOT_MATCHED, 
Robles, Diana, 66591142, XXX, NOT_MATCHED, 
Clayton, Marco, 72138748, FMD, Family Medicine, 
Bowman, Kayla, 29349514, FMD, Family Medicine, 
Sharp, Remy, 55632909, VSU, Vascular Surgery, 
Rocha, Harlow, 60119851, PHF, Public Health and Preventive Family Medicine, 
Orr, Reina, 30997592, XXX, NOT_MATCHED, 
Bernard, Avery, 30823914, OBG, Obstetrics and Gynecology, 
Kramer, Ryker, 34969150, FMD, Family Medicine, 
Phan, Kaydence, 78957973, FMD, Family Medicine, 
Neal, Alonso, 94977598, FMD, Family Medicine, 
Finley, Ellianna, 61399110, FMD, Family Medicine, 
Clark, Felicity, 25362973, IMD, Internal Medicine, 
Lim, Jane, 11911056, FMD, Family Medicine, 
Pham, Leona, 22380195, URO, Urology, 
Shepard, Aileen, 83909843, XXX, NOT_MATCHED, 
Travis, Royal, 71278094, HEP, Hematological Pathology, 
Harding, Hakeem, 75097036, PDT, Pediatrics, 
Gonzales, Koda, 10897006, GSU, General Surgery, 
Munoz, Josephine, 25108794, PDT, Pediatrics, 
Hahn, Millie, 90601547, PSY, Psychiatry, 
Hubbard, Orlando, 34131733, XXX, NOT_MATCHED, 
Montes, Drew, 64086119, XXX, NOT_MATCHED, 
Salazar, Owen, 95077376, ANT, Anesthesiology, 
Gallagher, Miller, 62642232, FMD, Family Medicine, 
Franco, Serenity, 64090015, XXX, NOT_MATCHED, 
Neal, Peyton, 82692959, XXX, NOT_MATCHED, 
Richardson, Alijah, 21198915, IMD, Internal Medicine, 
Black, Kylian, 99919699, XXX, NOT_MATCHED, 
Doyle, Zoya, 76739584, FMD, Family Medicine, 
Curry, Conner, 33843070, ANT, Anesthesiology, 
Cochran, Irene, 30746977, OBG, Obstetrics and Gynecology, 
Compton, Raiden, 36375931, XXX, NOT_MATCHED, 
Andrade, Princess, 82790727, IMD, Internal Medicine, 
Knapp, Mercy, 98562706, NRO, Neurology, 
Vance, Katherine, 26528694, FMD, Family Medicine, 
Carson, Walter, 77711634, XXX, NOT_MATCHED, 
Rojas, Nala, 60591922, IMD, Internal Medicine, 
Shepard, Henrik, 67107813, FMD, Family Medicine, 
Salinas, Harlan, 68512681, OBG, Obstetrics and Gynecology, 
Todd, Kyrie, 36991741, MGG, Medical Genetics and Genomics, 
Lynch, Teresa, 57392090, FMD, Family Medicine, 
Olson, Baylor, 66653335, FMD, Family Medicine, 
Hood, Royal, 56147966, EMD, Emergency Medicine, 
Townsend, Kellen, 37921782, FMD, Family Medicine, 
Munoz, Tiffany, 47876164, FMD, Family Medicine, 
Dickerson, Kinslee, 40424512, FMD, Family Medicine, 
Morrow, Makayla, 39363603, FMD, Family Medicine, 
Nava, Enzo, 28250287, OPH, Ophthalmology, 
Crosby, Paisleigh, 22715367, FMD, Family Medicine, 
Mills, Felix, 46759776, PDT, Pediatrics, 
Watts, Jamal, 13136936, GSU, General Surgery, 
Phan, Gunnar, 64991320, NRO, Neurology, 
Ingram, Summer, 24501217, FMD, Family Medicine, 
Rodgers, Legacy, 23596757, IMD, Internal Medicine, 
Miranda, Theodore, 43411425, IMD, Internal Medicine, 
Wall, Kaiden, 64528329, EMD, Emergency Medicine, 
Burnett, Walter, 42374159, PSY, Psychiatry, 
Hickman, Kaison, 90237256, GSU, General Surgery, 
Rich, Luke, 97972646, IMD, Internal Medicine, 
Moody, Rosalie, 88201285, FMD, Family Medicine, 
Andrade, Dorothy, 61073458, FMD, Family Medicine, 
Bullock, Kamryn, 51295578, XXX, NOT_MATCHED, 
Powers, Frida, 32342281, FMD, Family Medicine, 
Donovan, Bellamy, 14261998, XXX, NOT_MATCHED, 
Carson, Yehuda, 43715937, XXX, NOT_MATCHED, 
Conrad, Rhea, 42658512, XXX, NOT_MATCHED, 
McKenzie, Natalia, 82095195, FMD, Family Medicine, 
Fernandez, Landyn, 83347209, FMD, Family Medicine, 
Burch, Foster, 52312892, FMD, Family Medicine, 
Beard, Joziah, 32234180, XXX, NOT_MATCHED, 
Cabrera, Joelle, 43920031, EMD, Emergency Medicine, 
Morrow, Paul, 23927597, NRO, Neurology, 
Marshall, Jordan, 46793295, IMD, Internal Medicine, 
Villegas, Kaleb, 52326748, NMD, Nuclear Medicine, 
Villarreal, Della, 91953191, IMD, Internal Medicine, 
Brennan, George, 71920597, FMD, Family Medicine, 
Pennington, Elianna, 86179121, IMD, Internal Medicine, 
Zimmerman, Jorge, 88562775, FMD, Family Medicine, 
Morgan, Gabriella, 84108662, GSU, General Surgery, 
Lucas, Lorelai, 14245274, FMD, Family Medicine, 
Moreno, Sylas, 73238171, XXX, NOT_MATCHED, 
Parker, Kayson, 31585811, FMD, Family Medicine, 
Chung, Bailey, 87954994, FMD, Family Medicine, 
Arias, Kenji, 14452261, FMD, Family Medicine, 
Wong, Lexie, 20852625, DRA, Diagnostic Radiology, 
Gates, Deborah, 72554612, EMD, Emergency Medicine, 
Leal, Justice, 52405615, IMD, Internal Medicine, 
Vance, Freyja, 33140714, XXX, NOT_MATCHED, 
Delgado, Brayan, 40305498, IMD, Internal Medicine, 
Richard, Selene, 39759331, XXX, NOT_MATCHED, 
Castaneda, Amanda, 25995085, XXX, NOT_MATCHED, 
Weaver, David, 88507027, PDT, Pediatrics, 
Kirk, Madilynn, 99336396, XXX, NOT_MATCHED, 
Hampton, Hayes, 50724635, XXX, NOT_MATCHED, 
Moon, Julissa, 24093061, XXX, NOT_MATCHED, 
Zimmerman, Emory, 20598762, XXX, NOT_MATCHED, 
Hester, Shepherd, 27335461, XXX, NOT_MATCHED, 
Dillon, Maximo, 18337530, NRS, Neurosurgery, 
Byrd, Kali, 12550585, ANT, Anesthesiology, 
Juarez, Kameron, 34036628, FMD, Family Medicine, 
Hamilton, Zoey, 40970142, FMD, Family Medicine, 
Newton, Angelica, 63045665, XXX, NOT_MATCHED, 
Phelps, Forrest, 90004400, XXX, NOT_MATCHED, 
Payne, Milan, 30717314, FMD, Family Medicine, 
Krueger, Helena, 88572595, FMD, Family Medicine, 
Peters, Dorothy, 85011650, FMD, Family Medicine, 
Duran, Watson, 53988862, XXX, NOT_MATCHED, 
Wolf, Xavier, 96727211, IMD, Internal Medicine, 
Berger, Esteban, 90043384, NMD, Nuclear Medicine, 
Vang, Jase, 83717148, FMD, Family Medicine, 
Grant, Kylie, 85029161, IMD, Internal Medicine, 
Weeks, Lena, 54783960, FMD, Family Medicine, 
Roy, Angel, 87053280, MMI, Medical Microbiology, 
Wiley, Raiden, 67119544, XXX, NOT_MATCHED, 
Carson, Rene, 53192649, FMD, Family Medicine, 
Huynh, Davis, 79025505, DMP, Diagnostic and Molecular Pathology, 
Cross, Sunny, 20099361, FMD, Family Medicine, 
Hail, Rhea, 33324650, OPH, Ophthalmology, 
Travis, Oscar, 48810933, FMD, Family Medicine, 
Douglas, Violeta, 89478322, FMD, Family Medicine, 
Villalobos, Teagan, 93761860, FMD, Family Medicine, 
Salas, Adele, 42997333, IMD, Internal Medicine, 
Hayes, Lydia, 58882623, FMD, Family Medicine, 
Walls, Emerson, 75673033, XXX, NOT_MATCHED, 
Leal, Leia, 44548046, FMD, Family Medicine, 
Felix, Matthew, 72785594, XXX, NOT_MATCHED, 
Bernard, Adalyn, 89575755, XXX, NOT_MATCHED, 
Navarro, Kai, 91310406, FMD, Family Medicine, 
Graves, Alanna, 92556680, ANT, Anesthesiology, 
Mahoney, Elsie, 15469667, OPH, Ophthalmology, 
Villegas, Tyler, 20468596, PMR, Physical Medicine & Rehabilitation, 
Farrell, Brandon, 25830426, FMD, Family Medicine, 
Everett, Dakota, 53596583, XXX, NOT_MATCHED, 
Cobb, Emery, 56002564, XXX, NOT_MATCHED, 
Cantu, Ellis, 98233788, XXX, NOT_MATCHED, 
Lynn, Emory, 33208576, XXX, NOT_MATCHED, 
Trujillo, Ayden, 44114430, FMD, Family Medicine, 
Ho, Corinne, 48889437, ORS, Orthopedic Surgery, 
Anthony, Rogelio, 96915294, FMD, Family Medicine, 
Phelps, Ellen, 63362453, IMD, Internal Medicine, 
Greer, Maverick, 55767793, PHF, Public Health and Preventive Family Medicine, 
Magana, Santos, 34446057, XXX, NOT_MATCHED, 
Weiss, Carolina, 78752925, XXX, NOT_MATCHED, 
Green, Lennox, 47226637, IMD, Internal Medicine, 
Berg, Melany, 64697433, FMD, Family Medicine, 
Anthony, Lorelai, 30464272, FMD, Family Medicine, 
Terry, Avery, 88867378, XXX, NOT_MATCHED, 
Schmitt, Jayceon, 54862704, NMD, Nuclear Medicine, 
Bridges, Sienna, 46523092, FMD, Family Medicine, 
Mayer, Estrella, 97541009, FMD, Family Medicine, 
Nielsen, Arianna, 58634447, FMD, Family Medicine, 
Nunez, Yehuda, 29100598, DMP, Diagnostic and Molecular Pathology, 
Winters, Braelyn, 57531728, FMD, Family Medicine, 
Ballard, Sylvie, 62302133, IMD, Internal Medicine, 
McCann, Marisol, 28386805, FMD, Family Medicine, 
Hardin, Remy, 64871097, FMD, Family Medicine, 
Best, Caiden, 75699880, IMD, Internal Medicine, 
Sharp, Brendan, 14407814, IMD, Internal Medicine, 
Maddox, Aylin, 51837808, MMI, Medical Microbiology, 
Rose, Melani, 46449261, OBG, Obstetrics and Gynecology, 
Hendricks, Felix, 26373230, FMD, Family Medicine, 
Francis, Kinslee, 98556142, IMD, Internal Medicine, 
Christian, Bo, 11064407, XXX, NOT_MATCHED, 
Elliott, Dominick, 75871492, FMD, Family Medicine, 
Felix, Leif, 37111559, FMD, Family Medicine, 
Raymond, Kehlani, 99122015, PDT, Pediatrics, 
Richmond, Victoria, 27806744, EMD, Emergency Medicine, 
Chandler, Blakely, 40870899, XXX, NOT_MATCHED, 
Vargas, Ella, 84733496, PDT, Pediatrics, 
Vazquez, Cecilia, 96759746, FMD, Family Medicine, 
Ruiz, Dario, 23618090, FMD, Family Medicine, 
Ayers, Gunner, 32537386, XXX, NOT_MATCHED, 
Chan, Bonnie, 93329480, IMD, Internal Medicine, 
Pierce, Christina, 34153964, ANT, Anesthesiology, 
Marsh, Porter, 46406100, XXX, NOT_MATCHED, 
Mathews, Marie, 52368950, FMD, Family Medicine, 
McCoy, Palmer, 60420463, XXX, NOT_MATCHED, 
Barber, Briar, 12779813, XXX, NOT_MATCHED, 
Burgess, Rudy, 86775481, FMD, Family Medicine, 
Wood, Jadiel, 67588569, XXX, NOT_MATCHED, 
Dillon, Haley, 63134779, IMD, Internal Medicine, 
Cruz, Mina, 41249328, DMT, Dermatology, 
Gonzalez, Heaven, 32309773, DRA, Diagnostic Radiology, 
Vargas, Avery, 59589589, FMD, Family Medicine, 
Moody, Gracelynn, 83396522, IMD, Internal Medicine, 
Hickman, Kai, 96772748, DRA, Diagnostic Radiology, 
Cohen, Marco, 12887387, ANT, Anesthesiology, 
Miller, Bonnie, 49383064, PMR, Physical Medicine & Rehabilitation, 
Moon, Alani, 30747915, FMD, Family Medicine, 
Jefferson, Royal, 27705943, FMD, Family Medicine, 
Parks, Ares, 16723869, IMD, Internal Medicine, 
Stanton, Rio, 18864633, FMD, Family Medicine, 
Lawson, Ashley, 25431613, FMD, Family Medicine, 
Bullock, Alanna, 13198256, IMD, Internal Medicine, 
Foster, Alaia, 54110240, XXX, NOT_MATCHED, 
Schwartz, Uriel, 67348527, FMD, Family Medicine, 
Fitzgerald, Remington, 33293268, OBG, Obstetrics and Gynecology, 
Wood, Avi, 47482440, XXX, NOT_MATCHED, 
Meyers, Zakai, 29375253, FMD, Family Medicine, 
Massey, Alex, 83728459, FMD, Family Medicine, 
Wong, Kaiya, 12844428, FMD, Family Medicine, 
Cobb, Eva, 35266448, XXX, NOT_MATCHED, 
Barber, Mikayla, 99779149, PDT, Pediatrics, 
Atkins, Cassius, 54869968, XXX, NOT_MATCHED, 
Nichols, Makayla, 31644142, IMD, Internal Medicine, 
Montes, Haylee, 54645382, XXX, NOT_MATCHED, 
Green, Ahmed, 15649267, ORS, Orthopedic Surgery, 
Allison, Javier, 50687974, XXX, NOT_MATCHED, 
Hickman, Ashlynn, 41395691, FMD, Family Medicine, 
Edwards, Eloise, 19900452, XXX, NOT_MATCHED, 
Hodge, Jaylah, 52351160, IMD, Internal Medicine, 
Barron, Stephanie, 65980119, FMD, Family Medicine, 
Duarte, Malayah, 76525448, PSY, Psychiatry, 
Bennett, Lila, 21746420, FMD, Family Medicine, 
Huff, Hudson, 96236256, XXX, NOT_MATCHED, 
Pearson, Parker, 51494907, DRA, Diagnostic Radiology, 
Eaton, Brayan, 75783394, FMD, Family Medicine, 
Black, Pablo, 39662680, FMD, Family Medicine, 
Jacobs, Leonard, 63943500, FMD, Family Medicine, 
Reyes, Felipe, 23383189, IMD, Internal Medicine, 
Beasley, Garrett, 76553260, FMD, Family Medicine, 
Schwartz, Sariyah, 68209721, XXX, NOT_MATCHED, 
Kim, Blaze, 15399621, PDT, Pediatrics, 
Walker, Marcelo, 36214825, ANT, Anesthesiology, 
Mann, Yehuda, 64027884, XXX, NOT_MATCHED, 
Boyle, Eden, 30616934, NRO, Neurology, 
Mejia, Ayla, 93997932, PSY, Psychiatry, 
Washington, Kaia, 52800672, XXX, NOT_MATCHED, 
Stevenson, Zander, 99625865, XXX, NOT_MATCHED, 
Brandt, Sloan, 18107447, XXX, NOT_MATCHED, 
Horton, Ambrose, 80937117, FMD, Family Medicine, 
Pham, Lilah, 44977297, IMD, Internal Medicine, 
Mack, Jaziel, 10733777, XXX, NOT_MATCHED, 
Meyers, Aliya, 74185607, FMD, Family Medicine, 
Hamilton, Rodney, 13538900, PSY, Psychiatry, 
Conrad, Felix, 40096501, PSY, Psychiatry, 
Palmer, Forrest, 87845354, XXX, NOT_MATCHED, 
Bennett, Marvin, 95935481, NRS, Neurosurgery, 
Wells, Manuel, 20867864, OPH, Ophthalmology, 
Gordon, Banks, 38496484, XXX, NOT_MATCHED, 
McGee, Halo, 37794176, XXX, NOT_MATCHED, 
Leal, Jefferson, 57519799, FMD, Family Medicine, 
Crosby, Darius, 30835036, XXX, NOT_MATCHED, 
Church, Promise, 97350030, IMD, Internal Medicine, 
Gross, Maci, 47600862, XXX, NOT_MATCHED, 
Burgess, Everlee, 38861902, FMD, Family Medicine, 
West, Brian, 27035934, XXX, NOT_MATCHED, 
Estes, Ezequiel, 75769065, ANT, Anesthesiology, 
Holt, Jovanni, 88197131, DMT, Dermatology, 
Love, Fisher, 87966509, FMD, Family Medicine, 
Cisneros, Adelyn, 47977054, XXX, NOT_MATCHED, 
Boyd, Lorelei, 96150145, GSU, General Surgery, 
Kane, Eileen, 30046759, FMD, Family Medicine, 
Francis, Amaya, 98711094, FMD, Family Medicine, 
Cisneros, Eliezer, 33499025, FMD, Family Medicine, 
Mayer, Walker, 26203922, IMD, Internal Medicine, 
Galindo, Eithan, 52616214, XXX, NOT_MATCHED, 
Cherry, Paige, 50445965, IMD, Internal Medicine, 
Leal, Loretta, 16522639, FMD, Family Medicine, 
Drake, Knox, 53939272, FMD, Family Medicine, 
Carson, Avi, 74627137, PDT, Pediatrics, 
Ellison, Abraham, 63381525, IMD, Internal Medicine, 
Ruiz, Violette, 25638711, FMD, Family Medicine, 
Friedman, Lian, 18403809, ANT, Anesthesiology, 
O’Donnell, Nalani, 51930194, IMD, Internal Medicine, 
Kirby, Harley, 26826249, FMD, Family Medicine, 
Dunlap, Bristol, 68967449, XXX, NOT_MATCHED, 
Sampson, Winter, 33399568, XXX, NOT_MATCHED, 
McKee, Alaia, 90272757, FMD, Family Medicine, 
Stout, Allyson, 61928238, PSY, Psychiatry, 
Kerr, Franklin, 98096221, IMD, Internal Medicine, 
Suarez, Curtis, 86013605, ORS, Orthopedic Surgery, 
Mills, Rebekah, 85183241, FMD, Family Medicine, 
Carson, Whitney, 33882966, IMD, Internal Medicine, 
Joseph, Brynlee, 53549606, FMD, Family Medicine, 
Cook, Saint, 88888228, FMD, Family Medicine, 
Tyler, Evangeline, 12248519, NMD, Nuclear Medicine, 
Flowers, Cole, 53585631, NRO, Neurology, 
Mendez, Jordan, 44148273, IMD, Internal Medicine, 
McPherson, Maximiliano, 67507843, XXX, NOT_MATCHED, 
Cuevas, Henrik, 40453753, XXX, NOT_MATCHED, 
Dickerson, Reece, 58692960, XXX, NOT_MATCHED, 
Fernandez, Cecilia, 44478172, FMD, Family Medicine, 
O’Connor, Zechariah, 33895602, FMD, Family Medicine, 
Barry, Elianna, 95917748, XXX, NOT_MATCHED, 
Moyer, Julieta, 73250724, XXX, NOT_MATCHED, 
Burton, Diego, 69045483, XXX, NOT_MATCHED, 
Bush, Major, 85745236, NRO, Neurology, 
Lugo, Rayne, 36961641, IMD, Internal Medicine, 
Benson, Mavis, 40062619, EMD, Emergency Medicine, 
Coleman, Kyng, 24256029, FMD, Family Medicine, 
Stevenson, Ramona, 96476789, FMD, Family Medicine, 
Taylor, Noah, 41025175, XXX, NOT_MATCHED, 
Cline, Ana, 68143140, FMD, Family Medicine, 
Dyer, Aislinn, 72042493, IMD, Internal Medicine, 
Gallegos, Maximiliano, 92142492, FMD, Family Medicine, 
Leach, Marshall, 17411112, NRS, Neurosurgery, 
Lowery, Laylah, 97199365, IMD, Internal Medicine, 
Chen, Riley, 75104804, NRO, Neurology, 
Sosa, Byron, 39858069, FMD, Family Medicine, 
Moon, Callum, 41118193, IMD, Internal Medicine, 
