

lastname, firstname, residentID, programID, name

Truong, Dahlia, 61638522, PDT, Pediatrics, 
Orozco, Reign, 91998037, XXX, NOT_MATCHED, 
Kelley, Kai, 98680777, IMD, Internal Medicine, 
Foley, Brian, 69016608, FMD, Family Medicine, 
Barton, Jordan, 29641723, FMD, Family Medicine, 
Rowe, Bruno, 35507701, FMD, Family Medicine, 
Hansen, Sky, 22765985, PDT, Pediatrics, 
Andrews, Ocean, 29559492, FMD, Family Medicine, 
Wilson, Talon, 37274022, OBG, Obstetrics and Gynecology, 
Yu, Keily, 31716053, FMD, Family Medicine, 
Carson, Faye, 30766384, XXX, NOT_MATCHED, 
Cruz, Mina, 41249328, DMT, Dermatology, 
Santana, Dennis, 59331832, FMD, Family Medicine, 
Neal, Ayleen, 16665816, FMD, Family Medicine, 
Wright, Cassius, 58233355, ANT, Anesthesiology, 
Rosas, Rhea, 47882055, FMD, Family Medicine, 
Fry, Dexter, 29271519, XXX, NOT_MATCHED, 
Vazquez, Aubree, 10483755, FMD, Family Medicine, 
Madden, Adele, 53486526, IMD, Internal Medicine, 
Church, Frank, 57150941, XXX, NOT_MATCHED, 
Weeks, Andrew, 91676441, FMD, Family Medicine, 
Moran, Oakley, 93749340, XXX, NOT_MATCHED, 
Liu, Major, 13359756, FMD, Family Medicine, 
Portillo, Myles, 81358750, OPH, Ophthalmology, 
Robles, Alani, 69560781, IMD, Internal Medicine, 
Spears, Paisley, 24347023, FMD, Family Medicine, 
Roy, Rosalee, 76851687, FMD, Family Medicine, 
Lambert, Colter, 37111857, XXX, NOT_MATCHED, 
Reyes, Braxton, 94781698, FMD, Family Medicine, 
Baxter, Hugo, 85466974, FMD, Family Medicine, 
Gomez, Zaire, 79763450, PSY, Psychiatry, 
Mueller, Sonny, 99495027, NRO, Neurology, 
Parsons, Mckenna, 26081972, FMD, Family Medicine, 
Myers, Greyson, 80694973, PDT, Pediatrics, 
Roberts, Lincoln, 93640919, FMD, Family Medicine, 
Villalobos, Teagan, 93761860, FMD, Family Medicine, 
Sullivan, Lauren, 26576973, FMD, Family Medicine, 
Cortez, Brylee, 28556787, XXX, NOT_MATCHED, 
Dean, Juelz, 37977397, XXX, NOT_MATCHED, 
Le, Dahlia, 30440271, XXX, NOT_MATCHED, 
Acevedo, Titan, 83525300, FMD, Family Medicine, 
Jacobson, Jessica, 80384492, PSY, Psychiatry, 
Fitzpatrick, Angela, 69415075, XXX, NOT_MATCHED, 
Potts, Juelz, 81600940, PSY, Psychiatry, 
McCormick, Kyler, 62808692, XXX, NOT_MATCHED, 
Hammond, Cohen, 55694721, FMD, Family Medicine, 
Thornton, Steven, 22630558, ANT, Anesthesiology, 
Sherman, Dallas, 15486332, ANC, Anesthesiology - Clinician Investigator Program, 
Gill, Remi, 97572739, FMD, Family Medicine, 
Jensen, Ryan, 58578761, PMR, Physical Medicine & Rehabilitation, 
Mathews, Pearl, 73907848, FMD, Family Medicine, 
Stanley, Kellen, 77217820, FMD, Family Medicine, 
Patterson, Boston, 30384855, XXX, NOT_MATCHED, 
Corona, Azariah, 39021417, FMD, Family Medicine, 
Cooper, Molly, 10785125, ANT, Anesthesiology, 
Coleman, Murphy, 29267035, FMD, Family Medicine, 
Golden, Shiloh, 73810398, XXX, NOT_MATCHED, 
Rosas, Cheyenne, 49876338, FMD, Family Medicine, 
Trevino, Eliza, 57121114, DRA, Diagnostic Radiology, 
Keith, Drake, 29690642, ORS, Orthopedic Surgery, 
Weber, Roy, 21400845, GSU, General Surgery, 
Hodge, Roselyn, 39560880, ANT, Anesthesiology, 
Carey, Frederick, 42602143, XXX, NOT_MATCHED, 
Fischer, Royalty, 61237382, XXX, NOT_MATCHED, 
Moon, Ernesto, 51798981, XXX, NOT_MATCHED, 
Peck, Nicolas, 36590543, XXX, NOT_MATCHED, 
Phelps, Tristen, 93460092, NRO, Neurology, 
Schmitt, Yasmin, 43523035, CSU, Cardiac Surgery, 
Roth, Victor, 25323329, XXX, NOT_MATCHED, 
Summers, Royal, 85497378, IMD, Internal Medicine, 
Luna, Stephanie, 21645480, XXX, NOT_MATCHED, 
Ho, Waylon, 42240121, FMD, Family Medicine, 
Singleton, Leilani, 14813526, IMD, Internal Medicine, 
O’brien, Kiana, 87358058, FMD, Family Medicine, 
Burke, Rosalie, 36211899, IMD, Internal Medicine, 
Howell, Yousef, 72448769, DMT, Dermatology, 
Barnes, Zaiden, 64518101, PSY, Psychiatry, 
Gregory, Saint, 41304241, FMD, Family Medicine, 
Faulkner, Ira, 79201721, FMD, Family Medicine, 
Lucero, Vicente, 70118892, XXX, NOT_MATCHED, 
Beasley, Ivanna, 73764041, IMD, Internal Medicine, 
Jefferson, Gideon, 86478069, FMD, Family Medicine, 
Mayo, Crew, 58223179, IMD, Internal Medicine, 
Gillespie, Amora, 45401753, IMD, Internal Medicine, 
Brady, Lucille, 25047598, FMD, Family Medicine, 
Hess, Kairo, 63739251, XXX, NOT_MATCHED, 
Yates, Camryn, 53637814, XXX, NOT_MATCHED, 
Woods, Makai, 19557437, IMD, Internal Medicine, 
Cook, Kenji, 69995025, XXX, NOT_MATCHED, 
Massey, Anahi, 68990604, XXX, NOT_MATCHED, 
Nixon, Aviana, 62538000, FMD, Family Medicine, 
Truong, Ira, 14316196, FMD, Family Medicine, 
Stein, Sterling, 91965374, FMD, Family Medicine, 
Hammond, Kyleigh, 68073270, XXX, NOT_MATCHED, 
Wiggins, Rylan, 88690772, XXX, NOT_MATCHED, 
Marsh, Colten, 10279017, FMD, Family Medicine, 
Ayers, Legacy, 67190788, PMR, Physical Medicine & Rehabilitation, 
Lucero, Graham, 83550446, XXX, NOT_MATCHED, 
Hinton, Braelynn, 61299434, XXX, NOT_MATCHED, 
Juarez, Bodhi, 39445293, XXX, NOT_MATCHED, 
Zamora, Alaina, 10608772, XXX, NOT_MATCHED, 
Cisneros, Karen, 76730694, OBG, Obstetrics and Gynecology, 
Hunter, Ellen, 99577422, FMD, Family Medicine, 
Baxter, Ishaan, 61881367, XXX, NOT_MATCHED, 
Walsh, Jordan, 25710513, XXX, NOT_MATCHED, 
Kline, Adalyn, 84987181, XXX, NOT_MATCHED, 
McBride, Riggs, 37010157, XXX, NOT_MATCHED, 
Duarte, Conor, 81916564, XXX, NOT_MATCHED, 
Greer, Lennox, 69992731, FMD, Family Medicine, 
Mahoney, Grey, 10441365, XXX, NOT_MATCHED, 
Hutchinson, Waylon, 56837284, FMD, Family Medicine, 
Snow, Cain, 47107831, FMD, Family Medicine, 
Duke, Laura, 30129023, XXX, NOT_MATCHED, 
Eaton, Ariana, 11692733, HEP, Hematological Pathology, 
Barker, Joaquin, 48443156, PSY, Psychiatry, 
Fitzpatrick, August, 93980385, FMD, Family Medicine, 
Murray, Hana, 87672618, FMD, Family Medicine, 
Young, Brett, 94644633, XXX, NOT_MATCHED, 
Patton, Hudson, 56070474, FMD, Family Medicine, 
Melendez, Sawyer, 23106048, FMD, Family Medicine, 
Shaffer, Paislee, 94156602, FMD, Family Medicine, 
McKenzie, Audrey, 88084874, IMD, Internal Medicine, 
Hernandez, Aniyah, 14394250, DMT, Dermatology, 
Rush, Marilyn, 39577071, FMD, Family Medicine, 
Church, Ocean, 73718632, XXX, NOT_MATCHED, 
Collins, Kevin, 14490428, PDT, Pediatrics, 
Aguilar, Ashlyn, 13386009, IMD, Internal Medicine, 
Ramsey, Corinne, 78395406, FMD, Family Medicine, 
Vasquez, Berkley, 44267807, XXX, NOT_MATCHED, 
Simon, Aziel, 95075577, FMD, Family Medicine, 
Bentley, Aviana, 49915691, FMD, Family Medicine, 
Hanson, Navy, 96380189, FMD, Family Medicine, 
Maynard, Bailey, 22447160, XXX, NOT_MATCHED, 
Duncan, Alice, 52541803, XXX, NOT_MATCHED, 
Guevara, Marlowe, 23489723, GSU, General Surgery, 
Patton, Elliott, 96160396, FMD, Family Medicine, 
Barton, Valentin, 51843619, IMD, Internal Medicine, 
James, Houston, 32469959, PSY, Psychiatry, 
Hendricks, Charlie, 99703382, FMD, Family Medicine, 
Watson, Cynthia, 96490333, XXX, NOT_MATCHED, 
Thompson, Amalia, 34116924, FMD, Family Medicine, 
Cross, Joziah, 13855627, PSY, Psychiatry, 
Rich, Juliet, 18557204, MGG, Medical Genetics and Genomics, 
Melendez, Stephanie, 52263991, FMD, Family Medicine, 
Webb, Albert, 58541651, FMD, Family Medicine, 
Turner, Eugene, 17693487, MMI, Medical Microbiology, 
Beck, Stanley, 66404577, FMD, Family Medicine, 
Barker, Paris, 99877436, IMD, Internal Medicine, 
Byrd, Frankie, 22840750, XXX, NOT_MATCHED, 
Xiong, Sylvia, 36387761, OTO, Otolaryngology - Head and Neck Surgery, 
Burgess, Lorelei, 51816470, FMD, Family Medicine, 
Roberts, Amber, 86424890, IMD, Internal Medicine, 
Tran, Zion, 69513854, IMD, Internal Medicine, 
Coleman, Peter, 38598237, PSY, Psychiatry, 
Frost, Jaxon, 65572426, XXX, NOT_MATCHED, 
Norman, Harvey, 59550570, FMD, Family Medicine, 
Liu, Danna, 58372483, XXX, NOT_MATCHED, 
Johnston, Royce, 56372243, IMD, Internal Medicine, 
Robinson, Eden, 41769717, FMD, Family Medicine, 
Tucker, Lilyana, 67349145, FMD, Family Medicine, 
Juarez, Muhammad, 91137674, XXX, NOT_MATCHED, 
Preston, Parker, 42788338, FMD, Family Medicine, 
Gilbert, Arielle, 97243597, XXX, NOT_MATCHED, 
Yu, Judson, 15115115, XXX, NOT_MATCHED, 
Aguirre, Shawn, 24497763, FMD, Family Medicine, 
Durham, Clayton, 77992081, FMD, Family Medicine, 
Harrington, Everlee, 18741016, URO, Urology, 
Kemp, Daphne, 97852888, FMD, Family Medicine, 
Reyes, Rhett, 10669031, FMD, Family Medicine, 
Moreno, Haylee, 55752574, XXX, NOT_MATCHED, 
Fields, Cade, 99399640, FMD, Family Medicine, 
Miller, Laurel, 46376428, XXX, NOT_MATCHED, 
Wong, Reese, 95012609, XXX, NOT_MATCHED, 
Donovan, Andrea, 66903047, XXX, NOT_MATCHED, 
Phan, Gracelyn, 26809102, FMD, Family Medicine, 
Roth, Dawson, 28584182, XXX, NOT_MATCHED, 
Davenport, Trent, 10676547, XXX, NOT_MATCHED, 
Banks, Oakley, 89861033, FMD, Family Medicine, 
Gilmore, Anne, 79983323, XXX, NOT_MATCHED, 
Shaw, Stephen, 67122482, NRS, Neurosurgery, 
Pierce, London, 39133630, IMD, Internal Medicine, 
Macdonald, Hadleigh, 12248848, XXX, NOT_MATCHED, 
Noble, King, 94944735, ANT, Anesthesiology, 
Walsh, Ryann, 22255200, XXX, NOT_MATCHED, 
Montgomery, Sevyn, 47189901, IMD, Internal Medicine, 
Bates, Kylo, 57969600, IMD, Internal Medicine, 
Riley, Esperanza, 46354450, FMD, Family Medicine, 
Snyder, Malayah, 95721420, IMD, Internal Medicine, 
Gross, Mccoy, 55550357, FMD, Family Medicine, 
Abbott, Addilynn, 65109744, FMD, Family Medicine, 
Andrade, Dorothy, 61073458, FMD, Family Medicine, 
Aguirre, Bodie, 62987966, XXX, NOT_MATCHED, 
Gilmore, Margot, 24563659, XXX, NOT_MATCHED, 
Gillespie, Nala, 76736466, IMD, Internal Medicine, 
Sanford, Peter, 72310560, FMD, Family Medicine, 
Farmer, Ruth, 20746981, FMD, Family Medicine, 
Johnson, Ridge, 13992282, OBG, Obstetrics and Gynecology, 
Ware, Joey, 36630696, FMD, Family Medicine, 
Kerr, Ruth, 60699094, FMD, Family Medicine, 
Person, Julien, 11075103, XXX, NOT_MATCHED, 
Erickson, Yamileth, 30490248, FMD, Family Medicine, 
Giles, Iris, 44093689, ANT, Anesthesiology, 
Jimenez, Giuliana, 12292907, PDT, Pediatrics, 
White, Theodore, 23559208, XXX, NOT_MATCHED, 
Wise, Malachi, 39178013, XXX, NOT_MATCHED, 
Anderson, Michaela, 16139882, FMD, Family Medicine, 
Atkins, Gregory, 66353088, FMD, Family Medicine, 
Martin, Londyn, 79638319, OTO, Otolaryngology - Head and Neck Surgery, 
Davila, Ariel, 60445849, XXX, NOT_MATCHED, 
Calderon, Rio, 62334570, XXX, NOT_MATCHED, 
Simon, Daleyza, 77522721, XXX, NOT_MATCHED, 
Stevens, Dayana, 44438827, XXX, NOT_MATCHED, 
Phillips, Ramona, 55328465, IMD, Internal Medicine, 
Hudson, Karsyn, 79736705, XXX, NOT_MATCHED, 
Meza, Alonzo, 43619606, PMR, Physical Medicine & Rehabilitation, 
Cisneros, Frankie, 46289261, XXX, NOT_MATCHED, 
McGee, Valentina, 60225261, FMD, Family Medicine, 
Wright, Selena, 35047209, HEP, Hematological Pathology, 
McCoy, Mylo, 71045187, FME, Family Medicine integrated Emergency Medicine, 
Payne, Jolie, 22501901, XXX, NOT_MATCHED, 
Fischer, Melvin, 83947499, XXX, NOT_MATCHED, 
Terry, Zaiden, 27685216, XXX, NOT_MATCHED, 
Fox, Emberly, 58494501, FMD, Family Medicine, 
Heath, Malachi, 34238048, OBG, Obstetrics and Gynecology, 
Barrera, Darren, 92580535, FMD, Family Medicine, 
Tyler, Ivy, 22145224, XXX, NOT_MATCHED, 
Marsh, Reuben, 14808585, PDT, Pediatrics, 
Magana, Coraline, 87314709, XXX, NOT_MATCHED, 
Barrera, Kira, 37698258, FMD, Family Medicine, 
Solomon, Clare, 17977262, XXX, NOT_MATCHED, 
Wyatt, Valerie, 49976880, DMP, Diagnostic and Molecular Pathology, 
Davenport, Ryan, 19945537, ANT, Anesthesiology, 
Mahoney, Emerson, 81936937, FMD, Family Medicine, 
Carroll, Jazmin, 49583902, XXX, NOT_MATCHED, 
Mosley, Maison, 28936330, XXX, NOT_MATCHED, 
Bush, Zane, 22561037, NRP, Neurology - Pediatric, 
Orozco, Samantha, 43319851, IMD, Internal Medicine, 
Norman, Jackson, 23347579, PDT, Pediatrics, 
Austin, Kolton, 19950720, FMD, Family Medicine, 
Contreras, Ronald, 18745074, PSY, Psychiatry, 
Nunez, Sullivan, 24471021, FMD, Family Medicine, 
Cuevas, Raegan, 44314583, IMD, Internal Medicine, 
Brandt, Ulises, 67782887, FMD, Family Medicine, 
Middleton, Elaine, 38533909, FMD, Family Medicine, 
Calderon, Julian, 25213097, PDT, Pediatrics, 
Morrow, Yahir, 25087262, IMD, Internal Medicine, 
Hobbs, Mavis, 61272428, FMD, Family Medicine, 
Ramsey, Cayden, 20576032, XXX, NOT_MATCHED, 
Luna, Lilianna, 72846169, IMD, Internal Medicine, 
Benjamin, Hunter, 69624792, XXX, NOT_MATCHED, 
Crosby, Leyla, 18571644, XXX, NOT_MATCHED, 
Russell, Stefan, 31733701, IMD, Internal Medicine, 
Acosta, Ari, 79198369, NRO, Neurology, 
Figueroa, Yasmin, 62372296, EMD, Emergency Medicine, 
Gallegos, Kamdyn, 89399147, XXX, NOT_MATCHED, 
Fischer, Lorenzo, 29778408, PDT, Pediatrics, 
Duran, Ailani, 83140618, NRS, Neurosurgery, 
Johnson, Linda, 95924970, XXX, NOT_MATCHED, 
Hurley, Remington, 22085123, XXX, NOT_MATCHED, 
Escobar, Julieta, 93605003, XXX, NOT_MATCHED, 
Rodriguez, Elisha, 64833827, ANT, Anesthesiology, 
McKenzie, Cain, 30745240, FMD, Family Medicine, 
Gillespie, Abel, 56991941, FMD, Family Medicine, 
Ortiz, Hayden, 29194750, PSY, Psychiatry, 
Rasmussen, Stormi, 84260684, XXX, NOT_MATCHED, 
Elliott, Ameer, 16100785, XXX, NOT_MATCHED, 
Flowers, Dream, 79084290, XXX, NOT_MATCHED, 
Carter, Moses, 68213945, FMD, Family Medicine, 
Simon, Nathan, 34902395, FMD, Family Medicine, 
Dunlap, Landry, 94941696, FMD, Family Medicine, 
Hurst, Frankie, 94166190, FMD, Family Medicine, 
Alexander, Karson, 67228767, PSY, Psychiatry, 
McLean, Judith, 12341305, FMD, Family Medicine, 
Baker, Krew, 78465200, IMD, Internal Medicine, 
Francis, Damian, 49142772, PSY, Psychiatry, 
Rush, Spencer, 23402773, XXX, NOT_MATCHED, 
Leonard, Atlas, 65014224, FMD, Family Medicine, 
Flynn, Beatrice, 99363498, IMD, Internal Medicine, 
Cano, Oakleigh, 98439629, FMD, Family Medicine, 
Burton, Davian, 40503913, IMD, Internal Medicine, 
McCarty, Monroe, 51298858, XXX, NOT_MATCHED, 
McGuire, Kole, 64513223, XXX, NOT_MATCHED, 
Hall, Violette, 15960036, FMD, Family Medicine, 
McCarthy, Jakari, 71247281, GSU, General Surgery, 
Duran, Kali, 30216191, XXX, NOT_MATCHED, 
Joseph, Stanley, 20270750, FMD, Family Medicine, 
Marquez, Kassidy, 64357007, XXX, NOT_MATCHED, 
Winters, Chana, 27205945, DRA, Diagnostic Radiology, 
Bautista, Cayden, 30964040, IMD, Internal Medicine, 
Blake, Dash, 31936476, FMD, Family Medicine, 
Bautista, Lucia, 83889523, PSY, Psychiatry, 
Reyes, Lorelei, 41789726, IMD, Internal Medicine, 
Lopez, Hugh, 73104449, FMD, Family Medicine, 
Herring, Elora, 64549788, XXX, NOT_MATCHED, 
Hendrix, Lylah, 89815911, XXX, NOT_MATCHED, 
Booker, Coen, 82410456, IMD, Internal Medicine, 
Hopkins, Lionel, 41237682, PMR, Physical Medicine & Rehabilitation, 
Blake, Mitchell, 32201739, PSY, Psychiatry, 
Jarvis, Ruth, 69799629, FMD, Family Medicine, 
Carson, Bella, 34776950, XXX, NOT_MATCHED, 
Lugo, Zachariah, 14157421, FMD, Family Medicine, 
Hinton, Mckenzie, 98868658, ANT, Anesthesiology, 
Howard, Bishop, 41232150, NRO, Neurology, 
